"ImageNumber","plate","well","gene","puro","Image_FileNames_Filename_OrigDNA","Image_PathNames_Path_OrigDNA"
331,1,83,"MVK",1,"AS_09125_050116000001_D11f02d0.png","images"
332,1,83,"MVK",1,"AS_09125_050116000001_D11f03d0.png","images"
333,1,84,"PDXK",1,"AS_09125_050116000001_D12f00d0.png","images"
334,1,84,"PDXK",1,"AS_09125_050116000001_D12f01d0.png","images"
335,1,84,"PDXK",1,"AS_09125_050116000001_D12f02d0.png","images"
336,1,84,"PDXK",1,"AS_09125_050116000001_D12f03d0.png","images"
337,1,85,"MVK",1,"AS_09125_050116000001_D13f00d0.png","images"
338,1,85,"MVK",1,"AS_09125_050116000001_D13f01d0.png","images"
339,1,85,"MVK",1,"AS_09125_050116000001_D13f02d0.png","images"
340,1,85,"MVK",1,"AS_09125_050116000001_D13f03d0.png","images"
341,1,86,"PDXK",1,"AS_09125_050116000001_D14f00d0.png","images"
342,1,86,"PDXK",1,"AS_09125_050116000001_D14f01d0.png","images"
343,1,86,"PDXK",1,"AS_09125_050116000001_D14f02d0.png","images"
344,1,86,"PDXK",1,"AS_09125_050116000001_D14f03d0.png","images"
345,1,87,"MVK",1,"AS_09125_050116000001_D15f00d0.png","images"
346,1,87,"MVK",1,"AS_09125_050116000001_D15f01d0.png","images"
347,1,87,"MVK",1,"AS_09125_050116000001_D15f02d0.png","images"
348,1,87,"MVK",1,"AS_09125_050116000001_D15f03d0.png","images"
349,1,88,"PDXK",1,"AS_09125_050116000001_D16f00d0.png","images"
350,1,88,"PDXK",1,"AS_09125_050116000001_D16f01d0.png","images"
351,1,88,"PDXK",1,"AS_09125_050116000001_D16f02d0.png","images"
352,1,88,"PDXK",1,"AS_09125_050116000001_D16f03d0.png","images"
353,1,89,"PMS1",1,"AS_09125_050116000001_D17f00d0.png","images"
354,1,89,"PMS1",1,"AS_09125_050116000001_D17f01d0.png","images"
